system,intermediate,E_total_eV,bond_len_A,xy_disp_A,passed,fmax_final
AgO,CO2,-431.1515559213802,4.29448582085886,1.1850314918528966,True,0.059015870052638614
AgO,COOH,-436.01568650442783,4.492329136795017,0.0,True,0.08847903350594113
AgO,CO,-423.0336667765861,2.309035589572413,0.0029697407228603846,True,0.04877685687679649
AgO,CHO,-426.5240447557537,2.3623806740497906,0.44247285422668425,True,0.04781384462894586
AgO,CH2O,-430.28485604425555,4.915515481940564,0.2759560773523681,True,0.04701892408566045
AgO,CH3O,-433.385274878357,3.445677580498446,0.01977841634458402,True,0.0485299593486641
AgO,CH3OH,-438.3519636516409,6.264605298558743,0.0,False,0.09152853391467936
CuO,CO2,-463.00892667980105,4.044878823044963,1.2121048782962147,True,0.0663588532021268
CuO,COOH,-467.69010148620634,4.677884720029047,0.7782765564391495,True,0.045278604296223705
CuO,CO,-454.72924716006355,2.489403658760702,0.0022527348712898508,True,0.04604337371358039
CuO,CHO,-457.9968523938922,3.972987591588853,0.2877900680112421,True,0.04942894094947006
CuO,CH2O,-462.10539937550243,3.5488251278123926,0.2821584389435378,True,0.049108879183589624
CuO,CH3O,-465.19092024590464,3.543808933606092,0.0010180240767959988,True,0.04804914238453632
CuO,CH3OH,-470.261552956053,6.295834080894903,0.0,False,0.0716913078694598
