Directory,Work_Function,Vacuum_Level,D_Band_Center_Up,D_Band_Center_Down,Status
BN_BN_1_1,5.719,1.791,-0.873,10.1038,SUCCESS
BN_C_1_1,4.526,1.938,1.108,10.1038,SUCCESS
BN_InS_3_2,5.888,3.547,-0.529,10.1038,SUCCESS
C_C_1_1,4.269,2.009,-1.521,10.1038,SUCCESS
CdO_TiTe2_1_1,4.966,3.429,-0.667,10.1038,SUCCESS
CdTe_CdTe_1_1,5.716,1.975,1.622,10.1038,SUCCESS
GaSe_GaSe_1_1,4.658,3.696,-0.259,10.1038,SUCCESS
GaSe_Si_1_1,4.933,3.538,0.359,10.1038,SUCCESS
GaS_HfSe2_1_1,6.051,4.044,1.160,10.1038,SUCCESS
GaS_PtSe2_1_1,5.230,4.143,-0.256,10.1038,SUCCESS
Ge_Ge1_1,4.263,1.719,-1.295,10.1038,SUCCESS
Ge_InSe_1_1,4.748,3.211,0.482,10.1038,SUCCESS
HfS2_HfS2_1_1,6.566,4.198,0.858,10.1038,SUCCESS
HfS2_NiS2_1_1,5.826,3.995,0.958,10.1038,SUCCESS
HfS2_NiTe2_1_1,5.761,5.583,-0.561,10.1038,SUCCESS
HfS2_PdS2_1_1,6.049,4.189,0.818,10.1038,SUCCESS
HfS2_TaSe2_1_1,5.742,4.290,0.103,10.1038,SUCCESS
HfS2_TiSe2_1_1,6.133,4.006,-1.380,10.1038,SUCCESS
HfSe2_HfSe2_1_1,6.005,3.972,1.251,10.1038,SUCCESS
HfSe2_PtSe2_1_1,5.475,4.023,0.984,10.1038,SUCCESS
HfSe2_PtTe2_1_1,5.238,5.438,-0.320,10.1038,SUCCESS
InSe_InSe_1_1,5.633,4.520,-0.264,10.1038,SUCCESS
InS_Si_1_1,5.270,3.780,0.875,10.1038,SUCCESS
MoS2_SiC_1_1,5.334,3.500,1.721,10.1038,SUCCESS
MoS2_TaCl2_1_1,4.442,5.150,3.248,10.1038,SUCCESS
MoS2_WS2_1_1,5.541,4.668,0.443,10.1038,SUCCESS
MoSe2_NbS2_1_1,5.858,5.081,-0.233,10.1038,SUCCESS
MoSe2_NiSe2_1_1,4.712,4.269,0.056,10.1038,SUCCESS
MoSe2_TaS2_1_1,5.683,4.648,-0.358,10.1038,SUCCESS
MoSe2_TiS2_1_1,5.996,4.475,-2.487,10.1038,SUCCESS
MoSe2_ZnO_1_1,5.269,2.728,-0.582,10.1038,SUCCESS
MoTe2_NiS2_1_1,5.254,5.106,0.492,10.1038,SUCCESS
NbS2_NbS2_1_1,5.926,5.153,0.566,10.1038,SUCCESS
NbS2_TaS2_1_1,5.826,4.791,-0.611,10.1038,SUCCESS
NbS2_TiS2_1_1,5.969,4.537,-2.073,10.1038,SUCCESS
NbS2_WSe2_1_1,5.868,5.149,0.847,10.1038,SUCCESS
NbSe2_NbSe2_1_1,5.330,4.839,0.660,10.1038,SUCCESS
