Directory,VBM_eV,CBM_eV,Bandgap_eV,Work_Function_eV,VBM_vs_Vacuum,CBM_vs_Vacuum,VBM_vs_NHE,CBM_vs_NHE,CO2_to_CO_Overpotential,CO2_to_HCOOH_Overpotential,Status
BN_BN_1_1,-4.025,0.446,4.471,5.719,-1.694,-6.165,2.746,-1.725,-1.205,-1.295,SUCCESS
BN_C_1_1,-2.608,-2.568,0.04,4.526,-1.918,-1.958,2.522,2.482,3.002,2.912,SUCCESS
BN_InS_3_2,-2.433,-0.67,1.763,5.888,-3.455,-5.218,0.985,-0.778,-0.258,-0.348,SUCCESS
C_C_1_1,-2.272,-2.247,0.025,4.269,-1.997,-2.022,2.443,2.419,2.939,2.849,SUCCESS
CdO_TiTe2_1_1,-1.548,-1.531,0.017,4.966,-3.418,-3.435,1.022,1.005,1.525,1.435,SUCCESS
CdTe_CdTe_1_1,-3.835,-2.659,1.176,5.716,-1.881,-3.057,2.559,1.383,1.903,1.813,SUCCESS
GaSe_GaSe_1_1,-0.995,-0.925,0.07,4.658,-3.663,-3.733,0.777,0.707,1.227,1.137,SUCCESS
GaSe_Si_1_1,-1.413,-1.393,0.02,4.933,-3.52,-3.54,0.92,0.9,1.42,1.33,SUCCESS
GaS_HfSe2_1_1,-2.1,-1.33,0.77,6.051,-3.951,-4.721,0.489,-0.282,0.239,0.149,SUCCESS
GaS_PtSe2_1_1,-1.18,-0.06,1.12,5.23,-4.05,-5.17,0.39,-0.73,-0.21,-0.3,SUCCESS
Ge_Ge1_1,-2.565,-2.525,0.039,4.263,-1.699,-1.738,2.742,2.702,3.222,3.132,SUCCESS
Ge_InSe_1_1,-1.55,-1.524,0.026,4.748,-3.198,-3.224,1.242,1.216,1.736,1.646,SUCCESS
HfS2_HfS2_1_1,-2.463,-1.697,0.766,6.566,-4.103,-4.869,0.337,-0.429,0.091,0.001,SUCCESS
HfS2_NiS2_1_1,-1.84,-1.829,0.011,5.826,-3.986,-3.997,0.454,0.443,0.963,0.873,SUCCESS
HfS2_NiTe2_1_1,-0.191,-0.176,0.015,5.761,-5.57,-5.585,-1.13,-1.145,-0.625,-0.715,SUCCESS
HfS2_PdS2_1_1,-1.945,-1.698,0.246,6.049,-4.104,-4.351,0.336,0.089,0.609,0.519,SUCCESS
HfS2_TaSe2_1_1,-1.465,-1.447,0.017,5.742,-4.277,-4.295,0.163,0.145,0.665,0.575,SUCCESS
HfS2_TiSe2_1_1,-2.222,-1.851,0.371,6.133,-3.911,-4.282,0.529,0.158,0.678,0.588,SUCCESS
HfSe2_HfSe2_1_1,-2.119,-1.567,0.552,6.005,-3.886,-4.438,0.554,0.002,0.522,0.432,SUCCESS
HfSe2_PtSe2_1_1,-1.467,-1.439,0.028,5.475,-4.008,-4.036,0.432,0.404,0.924,0.834,SUCCESS
HfSe2_PtTe2_1_1,0.199,0.199,0,5.238,-5.437,-5.437,-0.997,-0.997,-0.477,-0.567,SUCCESS
InSe_InSe_1_1,-1.2,0.125,1.326,5.633,-4.433,-5.758,0.007,-1.318,-0.798,-0.888,SUCCESS
